step,actic loss,critic loss,average distance,time
10,-2270.9574,429.5743,20.8464,0min2sec
20,-1994.2394,348.6901,20.8105,0min2sec
30,-1339.4428,245.1401,20.7171,0min2sec
40,-947.2874,190.1671,20.5055,0min2sec
50,-764.8746,153.7329,19.9273,0min2sec
60,-637.5060,129.1138,19.1350,0min2sec
70,-547.4902,111.3553,18.4852,0min2sec
80,-480.7035,97.9699,17.9557,0min2sec
90,-427.8136,87.5182,17.5454,0min2sec
100,-384.8950,79.1283,17.2058,0min2sec
110,-350.6851,72.2528,16.9189,0min2sec
120,-322.0668,66.5329,16.6807,0min2sec
130,-298.0356,61.7060,16.4720,0min2sec
140,-276.2541,57.5526,16.2865,0min2sec
150,-258.0729,53.9262,16.1315,0min2sec
