nohup: 忽略输入
mode: train
batch: 512
city_t: 50
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_12
task: train50
pkl_path: ./Pkl/train50.pkl
n_samples: 6656000

generate ./Csv/0522_11_15_train50_param.csv
step:0/13000, actic loss:-3891.619, critic loss:690.524, L:26.204, 0min2sec
step:10/13000, actic loss:-3830.636, critic loss:674.197, L:26.035, 0min2sec
step:20/13000, actic loss:-3545.893, critic loss:586.465, L:26.025, 0min2sec
step:30/13000, actic loss:-2667.733, critic loss:421.430, L:25.875, 0min2sec
step:40/13000, actic loss:-1790.332, critic loss:331.332, L:25.300, 0min2sec
step:50/13000, actic loss:-1422.051, critic loss:267.854, L:24.275, 0min2sec
step:60/13000, actic loss:-1186.534, critic loss:224.529, L:23.224, 0min2sec
step:70/13000, actic loss:-1019.473, critic loss:193.367, L:22.382, 0min2sec
step:80/13000, actic loss:-893.735, critic loss:169.913, L:21.758, 0min2sec
step:90/13000, actic loss:-795.655, critic loss:151.611, L:21.257, 0min2sec
step:100/13000, actic loss:-717.390, critic loss:136.925, L:20.855, 0min2sec
step:110/13000, actic loss:-652.744, critic loss:124.887, L:20.520, 0min2sec
step:120/13000, actic loss:-599.338, critic loss:114.835, L:20.238, 0min2sec
step:130/13000, actic loss:-553.290, critic loss:106.324, L:19.995, 0min2sec
step:140/13000, actic loss:-514.645, critic loss:99.029, L:19.789, 0min2sec
step:150/13000, actic loss:-480.259, critic loss:92.710, L:19.611, 0min2sec
step:160/13000, actic loss:-450.342, critic loss:87.156, L:19.460, 0min2sec
step:170/13000, actic loss:-424.229, critic loss:82.268, L:19.322, 0min2sec
step:180/13000, actic loss:-400.613, critic loss:77.892, L:19.245, 0min2sec
step:190/13000, actic loss:-379.799, critic loss:73.982, L:19.145, 0min2sec
step:200/13000, actic loss:-360.916, critic loss:70.459, L:19.057, 0min2sec
step:210/13000, actic loss:-343.719, critic loss:67.271, L:18.971, 0min2sec
step:220/13000, actic loss:-328.381, critic loss:64.382, L:18.884, 0min2sec
step:230/13000, actic loss:-314.214, critic loss:61.748, L:18.800, 0min2sec
step:240/13000, actic loss:-301.330, critic loss:59.342, L:18.728, 0min2sec
step:250/13000, actic loss:-289.488, critic loss:57.129, L:18.665, 0min2sec
step:260/13000, actic loss:-278.375, critic loss:55.080, L:18.603, 0min2sec
step:270/13000, actic loss:-268.023, critic loss:53.182, L:18.545, 0min2sec
step:280/13000, actic loss:-258.576, critic loss:51.418, L:18.492, 0min2sec
step:290/13000, actic loss:-249.731, critic loss:49.768, L:18.443, 0min2sec
step:300/13000, actic loss:-241.434, critic loss:48.240, L:18.396, 0min2sec
step:310/13000, actic loss:-233.577, critic loss:46.812, L:18.354, 0min2sec
step:320/13000, actic loss:-226.184, critic loss:45.472, L:18.317, 0min2sec
step:330/13000, actic loss:-219.441, critic loss:44.205, L:18.288, 0min2sec
step:340/13000, actic loss:-213.120, critic loss:43.010, L:18.257, 0min2sec
step:350/13000, actic loss:-207.188, critic loss:41.891, L:18.224, 0min2sec
step:360/13000, actic loss:-201.357, critic loss:40.834, L:18.192, 0min2sec
step:370/13000, actic loss:-196.026, critic loss:39.833, L:18.160, 0min2sec
step:380/13000, actic loss:-190.900, critic loss:38.879, L:18.128, 0min2sec
step:390/13000, actic loss:-186.007, critic loss:37.975, L:18.106, 0min2sec
step:400/13000, actic loss:-181.431, critic loss:37.122, L:18.081, 0min2sec
step:410/13000, actic loss:-177.072, critic loss:36.307, L:18.056, 0min2sec
step:420/13000, actic loss:-172.856, critic loss:35.529, L:18.032, 0min2sec
step:430/13000, actic loss:-168.817, critic loss:34.791, L:18.009, 0min2sec
step:440/13000, actic loss:-164.956, critic loss:34.083, L:17.990, 0min2sec
step:450/13000, actic loss:-161.322, critic loss:33.406, L:17.970, 0min2sec
step:460/13000, actic loss:-157.816, critic loss:32.758, L:17.953, 0min2sec
step:470/13000, actic loss:-154.508, critic loss:32.138, L:17.938, 0min2sec
step:480/13000, actic loss:-151.282, critic loss:31.542, L:17.920, 0min2sec
step:490/13000, actic loss:-148.214, critic loss:30.970, L:17.904, 0min2sec
