nohup: 忽略输入
mode: train
batch: 512
city_t: 40
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_07
task: train40
pkl_path: ./Pkl/train40.pkl
n_samples: 6656000

generate ./Csv/0522_11_19_train40_param.csv
step:0/13000, actic loss:-2309.360, critic loss:441.177, L:20.929, 0min2sec
step:10/13000, actic loss:-2285.291, critic loss:432.741, L:20.872, 0min2sec
step:20/13000, actic loss:-2084.679, critic loss:367.721, L:20.864, 0min2sec
step:30/13000, actic loss:-1506.721, critic loss:260.976, L:20.824, 0min2sec
step:40/13000, actic loss:-1013.601, critic loss:204.549, L:20.572, 0min2sec
step:50/13000, actic loss:-814.100, critic loss:165.103, L:19.954, 0min2sec
step:60/13000, actic loss:-679.499, critic loss:138.592, L:19.131, 0min2sec
step:70/13000, actic loss:-584.059, critic loss:119.490, L:18.446, 0min2sec
step:80/13000, actic loss:-511.657, critic loss:105.094, L:17.906, 0min2sec
step:90/13000, actic loss:-455.591, critic loss:93.850, L:17.496, 0min2sec
step:100/13000, actic loss:-410.628, critic loss:84.821, L:17.149, 0min2sec
step:110/13000, actic loss:-373.619, critic loss:77.425, L:16.857, 0min2sec
step:120/13000, actic loss:-342.802, critic loss:71.254, L:16.615, 0min2sec
step:130/13000, actic loss:-316.856, critic loss:66.020, L:16.413, 0min2sec
step:140/13000, actic loss:-294.286, critic loss:61.530, L:16.240, 0min2sec
step:150/13000, actic loss:-275.077, critic loss:57.641, L:16.086, 0min2sec
step:160/13000, actic loss:-257.788, critic loss:54.227, L:15.944, 0min2sec
step:170/13000, actic loss:-242.765, critic loss:51.207, L:15.824, 0min2sec
step:180/13000, actic loss:-229.507, critic loss:48.527, L:15.715, 0min2sec
step:190/13000, actic loss:-217.374, critic loss:46.128, L:15.616, 0min2sec
step:200/13000, actic loss:-206.648, critic loss:43.970, L:15.530, 0min2sec
step:210/13000, actic loss:-196.763, critic loss:42.024, L:15.450, 0min2sec
step:220/13000, actic loss:-187.907, critic loss:40.242, L:15.379, 0min2sec
step:230/13000, actic loss:-179.831, critic loss:38.619, L:15.312, 0min2sec
step:240/13000, actic loss:-172.408, critic loss:37.135, L:15.251, 0min2sec
step:250/13000, actic loss:-165.568, critic loss:35.769, L:15.196, 0min2sec
step:260/13000, actic loss:-159.204, critic loss:34.505, L:15.144, 0min2sec
step:270/13000, actic loss:-153.418, critic loss:33.332, L:15.096, 0min2sec
step:280/13000, actic loss:-147.954, critic loss:32.242, L:15.057, 0min2sec
step:290/13000, actic loss:-142.897, critic loss:31.224, L:15.025, 0min1sec
step:300/13000, actic loss:-138.151, critic loss:30.271, L:14.991, 0min2sec
step:310/13000, actic loss:-133.720, critic loss:29.382, L:14.957, 0min2sec
step:320/13000, actic loss:-129.549, critic loss:28.546, L:14.921, 0min2sec
step:330/13000, actic loss:-125.652, critic loss:27.767, L:14.888, 0min2sec
step:340/13000, actic loss:-121.933, critic loss:27.034, L:14.858, 0min2sec
step:350/13000, actic loss:-118.400, critic loss:26.339, L:14.830, 0min2sec
step:360/13000, actic loss:-115.154, critic loss:25.682, L:14.804, 0min2sec
step:370/13000, actic loss:-112.069, critic loss:25.061, L:14.778, 0min2sec
step:380/13000, actic loss:-109.163, critic loss:24.475, L:14.754, 0min2sec
step:390/13000, actic loss:-106.391, critic loss:23.918, L:14.736, 0min2sec
step:400/13000, actic loss:-103.710, critic loss:23.388, L:14.720, 0min2sec
step:410/13000, actic loss:-101.184, critic loss:22.886, L:14.699, 0min2sec
step:420/13000, actic loss:-98.825, critic loss:22.405, L:14.683, 0min2sec
step:430/13000, actic loss:-96.549, critic loss:21.944, L:14.665, 0min2sec
step:440/13000, actic loss:-94.365, critic loss:21.509, L:14.646, 0min2sec
step:450/13000, actic loss:-92.249, critic loss:21.091, L:14.628, 0min2sec
step:460/13000, actic loss:-90.257, critic loss:20.690, L:14.611, 0min2sec
step:470/13000, actic loss:-88.355, critic loss:20.306, L:14.595, 0min2sec
step:480/13000, actic loss:-86.520, critic loss:19.939, L:14.578, 0min2sec
step:490/13000, actic loss:-84.747, critic loss:19.584, L:14.562, 0min2sec
step:500/13000, actic loss:-83.023, critic loss:19.248, L:14.548, 0min2sec
step:510/13000, actic loss:-81.386, critic loss:18.926, L:14.534, 0min2sec
step:520/13000, actic loss:-79.795, critic loss:18.618, L:14.520, 0min2sec
step:530/13000, actic loss:-78.281, critic loss:18.318, L:14.508, 0min2sec
step:540/13000, actic loss:-76.864, critic loss:18.031, L:14.500, 0min2sec
step:550/13000, actic loss:-75.504, critic loss:17.754, L:14.488, 0min2sec
step:560/13000, actic loss:-74.176, critic loss:17.485, L:14.477, 0min2sec
step:570/13000, actic loss:-72.877, critic loss:17.227, L:14.467, 0min2sec
step:580/13000, actic loss:-71.615, critic loss:16.976, L:14.455, 0min2sec
step:590/13000, actic loss:-70.401, critic loss:16.731, L:14.447, 0min2sec
step:600/13000, actic loss:-69.214, critic loss:16.495, L:14.438, 0min2sec
step:610/13000, actic loss:-68.098, critic loss:16.267, L:14.428, 0min2sec
step:620/13000, actic loss:-67.036, critic loss:16.049, L:14.419, 0min2sec
step:630/13000, actic loss:-65.981, critic loss:15.838, L:14.409, 0min2sec
step:640/13000, actic loss:-64.967, critic loss:15.634, L:14.402, 0min2sec
step:650/13000, actic loss:-63.981, critic loss:15.435, L:14.395, 0min2sec
step:660/13000, actic loss:-63.033, critic loss:15.245, L:14.388, 0min2sec
step:670/13000, actic loss:-62.131, critic loss:15.061, L:14.380, 0min2sec
step:680/13000, actic loss:-61.218, critic loss:14.880, L:14.372, 0min2sec
step:690/13000, actic loss:-60.314, critic loss:14.704, L:14.364, 0min2sec
step:700/13000, actic loss:-59.469, critic loss:14.533, L:14.358, 0min2sec
step:710/13000, actic loss:-58.636, critic loss:14.368, L:14.350, 0min2sec
step:720/13000, actic loss:-57.843, critic loss:14.206, L:14.344, 0min2sec
step:730/13000, actic loss:-57.073, critic loss:14.049, L:14.338, 0min2sec
step:740/13000, actic loss:-56.306, critic loss:13.894, L:14.332, 0min2sec
step:750/13000, actic loss:-55.523, critic loss:13.747, L:14.326, 0min2sec
step:760/13000, actic loss:-54.808, critic loss:13.605, L:14.319, 0min2sec
step:770/13000, actic loss:-54.147, critic loss:13.465, L:14.313, 0min2sec
step:780/13000, actic loss:-53.447, critic loss:13.328, L:14.308, 0min2sec
step:790/13000, actic loss:-52.781, critic loss:13.193, L:14.303, 0min2sec
step:800/13000, actic loss:-52.097, critic loss:13.064, L:14.297, 0min2sec
step:810/13000, actic loss:-51.483, critic loss:12.938, L:14.292, 0min2sec
step:820/13000, actic loss:-50.896, critic loss:12.814, L:14.290, 0min2sec
step:830/13000, actic loss:-50.283, critic loss:12.692, L:14.285, 0min2sec
step:840/13000, actic loss:-49.687, critic loss:12.574, L:14.280, 0min2sec
step:850/13000, actic loss:-49.121, critic loss:12.458, L:14.275, 0min2sec
step:860/13000, actic loss:-48.562, critic loss:12.347, L:14.271, 0min2sec
step:870/13000, actic loss:-48.013, critic loss:12.237, L:14.268, 0min2sec
step:880/13000, actic loss:-47.467, critic loss:12.130, L:14.266, 0min2sec
step:890/13000, actic loss:-46.953, critic loss:12.026, L:14.263, 0min2sec
step:900/13000, actic loss:-46.446, critic loss:11.925, L:14.258, 0min2sec
step:910/13000, actic loss:-45.937, critic loss:11.825, L:14.254, 0min2sec
step:920/13000, actic loss:-45.438, critic loss:11.727, L:14.250, 0min2sec
step:930/13000, actic loss:-44.964, critic loss:11.633, L:14.247, 0min2sec
step:940/13000, actic loss:-44.495, critic loss:11.540, L:14.243, 0min2sec
step:950/13000, actic loss:-44.028, critic loss:11.447, L:14.242, 0min2sec
step:960/13000, actic loss:-43.580, critic loss:11.359, L:14.240, 0min2sec
step:970/13000, actic loss:-43.127, critic loss:11.272, L:14.237, 0min2sec
step:980/13000, actic loss:-42.707, critic loss:11.187, L:14.233, 0min2sec
step:990/13000, actic loss:-42.259, critic loss:11.104, L:14.229, 0min2sec
step:1000/13000, actic loss:-41.833, critic loss:11.021, L:14.225, 0min2sec
step:1010/13000, actic loss:-41.428, critic loss:10.940, L:14.222, 0min2sec
step:1020/13000, actic loss:-41.024, critic loss:10.859, L:14.220, 0min1sec
step:1030/13000, actic loss:-40.627, critic loss:10.781, L:14.218, 0min2sec
step:1040/13000, actic loss:-40.245, critic loss:10.706, L:14.215, 0min2sec
step:1050/13000, actic loss:-39.865, critic loss:10.632, L:14.212, 0min2sec
step:1060/13000, actic loss:-39.477, critic loss:10.558, L:14.211, 0min2sec
step:1070/13000, actic loss:-39.109, critic loss:10.485, L:14.208, 0min2sec
step:1080/13000, actic loss:-38.774, critic loss:10.414, L:14.204, 0min2sec
step:1090/13000, actic loss:-38.435, critic loss:10.344, L:14.201, 0min2sec
step:1100/13000, actic loss:-38.076, critic loss:10.274, L:14.197, 0min2sec
step:1110/13000, actic loss:-37.762, critic loss:10.205, L:14.193, 0min2sec
step:1120/13000, actic loss:-37.406, critic loss:10.139, L:14.190, 0min2sec
